date_time;latitude;longitude;temperatura;sensacao_termica;umidade_relativa;chuva_mm
2025-11-01T00:00;-23.588333;-46.65889;16.7;18.0;95;0.0
2025-11-01T03:00;-23.588333;-46.65889;16.5;18.0;99;0.0
2025-11-01T06:00;-23.588333;-46.65889;16.7;18.0;97;0.0
2025-11-01T09:00;-23.588333;-46.65889;21.2;23.5;77;0.0
2025-11-01T12:00;-23.588333;-46.65889;26.0;30.3;57;0.1
2025-11-01T15:00;-23.588333;-46.65889;25.0;27.6;61;0.2
2025-11-01T18:00;-23.588333;-46.65889;21.9;24.3;84;0.0
2025-11-01T21:00;-23.588333;-46.65889;19.8;21.4;89;0.0
2025-11-02T00:00;-23.588333;-46.65889;19.2;21.1;91;0.0
2025-11-02T03:00;-23.588333;-46.65889;18.7;20.6;92;0.0
2025-11-02T06:00;-23.588333;-46.65889;18.1;19.8;96;1.0
2025-11-02T09:00;-23.588333;-46.65889;18.6;19.9;93;3.7
2025-11-02T12:00;-23.588333;-46.65889;20.6;22.7;89;1.0
2025-11-02T15:00;-23.588333;-46.65889;20.3;21.5;87;2.3
2025-11-02T18:00;-23.588333;-46.65889;19.3;20.5;89;0.1
2025-11-02T21:00;-23.588333;-46.65889;19.4;21.1;88;0.0
2025-11-03T00:00;-23.588333;-46.65889;18.9;20.3;89;0.0
2025-11-03T03:00;-23.588333;-46.65889;18.6;19.9;89;0.0
2025-11-03T06:00;-23.588333;-46.65889;18.3;19.7;92;0.0
2025-11-03T09:00;-23.588333;-46.65889;22.0;22.5;76;0.0
2025-11-03T12:00;-23.588333;-46.65889;24.6;25.8;64;0.0
2025-11-03T15:00;-23.588333;-46.65889;24.9;25.1;58;0.2
2025-11-03T18:00;-23.588333;-46.65889;18.8;20.4;94;4.6
2025-11-03T21:00;-23.588333;-46.65889;18.9;21.4;97;0.0
2025-11-04T00:00;-23.588333;-46.65889;17.9;19.6;97;0.0
2025-11-04T03:00;-23.588333;-46.65889;18.2;20.7;99;0.0
2025-11-04T06:00;-23.588333;-46.65889;18.2;20.5;98;0.0
2025-11-04T09:00;-23.588333;-46.65889;20.6;23.1;83;0.1
2025-11-04T12:00;-23.588333;-46.65889;26.0;30.1;63;0.1
2025-11-04T15:00;-23.588333;-46.65889;25.5;27.6;68;1.3
2025-11-04T18:00;-23.588333;-46.65889;20.9;23.0;86;0.3
2025-11-04T21:00;-23.588333;-46.65889;20.2;22.7;93;0.0
2025-11-05T00:00;-23.588333;-46.65889;19.8;22.1;93;0.0
2025-11-05T03:00;-23.588333;-46.65889;19.9;22.6;98;0.0
2025-11-05T06:00;-23.588333;-46.65889;19.9;22.4;93;0.0
2025-11-05T09:00;-23.588333;-46.65889;25.8;28.8;69;0.0
2025-11-05T12:00;-23.588333;-46.65889;27.8;28.5;54;0.6
2025-11-05T15:00;-23.588333;-46.65889;27.8;29.0;59;0.0
2025-11-05T18:00;-23.588333;-46.65889;23.9;25.1;75;0.0
2025-11-05T21:00;-23.588333;-46.65889;22.1;24.0;76;0.0
2025-11-06T00:00;-23.588333;-46.65889;20.2;21.9;88;0.1
2025-11-06T03:00;-23.588333;-46.65889;17.0;17.3;88;0.1
2025-11-06T06:00;-23.588333;-46.65889;17.0;17.1;87;0.0
2025-11-06T09:00;-23.588333;-46.65889;18.2;17.4;74;0.1
2025-11-06T12:00;-23.588333;-46.65889;19.4;18.8;71;0.0
2025-11-06T15:00;-23.588333;-46.65889;19.0;18.3;72;0.0
2025-11-06T18:00;-23.588333;-46.65889;17.2;16.6;78;0.1
2025-11-06T21:00;-23.588333;-46.65889;16.1;15.7;86;0.0
2025-11-07T00:00;-23.588333;-46.65889;15.8;15.9;88;0.0
2025-11-07T03:00;-23.588333;-46.65889;15.4;15.5;90;0.0
2025-11-07T06:00;-23.588333;-46.65889;14.4;14.1;93;0.0
